iter	Passed	Remaining
719	1646	640
720	1647	637
721	1652	636
722	1653	633
723	1655	631
724	1657	628
725	1659	626
726	1660	623
727	1663	621
728	1666	619
729	1668	616
730	1669	614
731	1672	612
732	1673	609
733	1675	607
734	1677	604
735	1678	602
736	1680	599
737	1682	597
738	1684	594
739	1686	592
740	1688	590
741	1689	587
742	1692	585
743	1693	582
744	1694	580
745	1697	578
746	1700	576
747	1702	573
748	1704	571
749	1706	568
750	1708	566
751	1711	564
752	1714	562
753	1716	560
754	1718	557
755	1719	555
756	1722	552
757	1723	550
758	1725	547
759	1726	545
760	1728	542
761	1731	540
762	1733	538
763	1734	535
764	1737	533
765	1738	531
766	1740	528
767	1741	526
768	1743	523
769	1746	521
770	1747	519
771	1749	516
772	1751	514
773	1752	511
774	1755	509
775	1756	507
776	1758	504
777	1762	502
778	1764	500
779	1766	498
780	1767	495
781	1769	493
782	1771	491
783	1773	488
784	1774	486
785	1779	484
786	1781	482
787	1782	479
788	1785	477
789	1787	475
790	1788	472
791	1790	470
792	1795	468
793	1798	466
794	1800	464
795	1802	462
796	1804	459
797	1807	457
798	1810	455
799	1812	453
800	1814	450
801	1817	448
802	1819	446
803	1822	444
804	1825	442
805	1827	439
806	1829	437
807	1833	435
808	1835	433
809	1837	430
810	1839	428
811	1842	426
812	1844	424
813	1847	422
814	1849	419
815	1853	417
816	1855	415
817	1858	413
818	1860	411
819	1862	408
820	1865	406
821	1867	404
822	1870	402
823	1873	400
824	1875	397
825	1877	395
826	1880	393
827	1882	391
828	1884	388
829	1885	386
830	1889	384
831	1893	382
832	1897	380
833	1899	378
834	1903	376
835	1906	373
836	1909	371
837	1911	369
838	1914	367
839	1916	364
840	1919	362
841	1923	360
842	1925	358
843	1928	356
844	1930	354
845	1932	351
846	1935	349
847	1938	347
848	1940	345
849	1942	342
850	1943	340
851	1945	337
852	1946	335
853	1948	333
854	1953	331
855	1956	329
856	1957	326
857	1959	324
858	1961	322
859	1963	319
860	1966	317
861	1968	315
862	1969	312
863	1972	310
864	1973	308
865	1975	305
866	1977	303
867	1978	300
868	1982	298
869	1984	296
870	1986	294
